work_year,remote_ratio,experience_level_num,company_size_num,salary_log,job_title_index,employment_type_index,salary_currency_index,employee_residence_index,remote_type_index
2023,100,2,2,11.289794413577894,35.0,0.0,1.0,3.0,1.0
2023,100,1,0,10.308985993422082,10.0,2.0,0.0,0.0,1.0
2023,100,1,0,10.146472946063877,10.0,2.0,0.0,0.0,1.0
2023,100,2,1,12.07254696717504,1.0,0.0,0.0,2.0,1.0
2023,100,2,1,11.695255355062795,1.0,0.0,0.0,2.0,1.0
2023,0,2,2,12.311337656627584,7.0,0.0,0.0,0.0,0.0
2023,0,2,2,11.820417517632333,7.0,0.0,0.0,0.0,0.0
2023,0,2,1,12.296831574998258,1.0,0.0,0.0,2.0,0.0
2023,0,2,1,11.856522261533737,1.0,0.0,0.0,2.0,0.0
2023,0,2,1,11.898874704662955,1.0,0.0,0.0,0.0,0.0
2023,0,2,1,11.415323661400773,1.0,0.0,0.0,0.0,0.0
2023,100,2,1,11.775297421715827,2.0,0.0,0.0,0.0,1.0
2023,100,2,1,11.51293546492023,2.0,0.0,0.0,0.0,1.0
2023,0,0,2,12.272145925822166,7.0,0.0,0.0,0.0,0.0
2023,0,0,2,11.781126508407558,7.0,0.0,0.0,0.0,0.0
2023,0,2,1,11.898874704662955,66.0,0.0,0.0,0.0,0.0
2023,0,2,1,11.415323661400773,66.0,0.0,0.0,0.0,0.0
2023,0,2,1,12.04355959836804,1.0,0.0,0.0,0.0,0.0
2023,0,2,1,11.918397239722838,1.0,0.0,0.0,0.0,0.0
2023,100,1,1,11.918397239722838,2.0,0.0,0.0,0.0,1.0
2023,100,1,1,11.608244735642321,2.0,0.0,0.0,0.0,1.0
2023,0,2,1,12.524530013005734,9.0,0.0,0.0,5.0,0.0
2023,0,2,1,12.066816325306588,9.0,0.0,0.0,5.0,0.0
2023,100,2,1,12.345838935721968,4.0,0.0,0.0,1.0,1.0
2023,100,2,1,11.872004516724523,4.0,0.0,0.0,1.0,1.0
2023,0,2,1,12.323860125621126,50.0,0.0,0.0,0.0,0.0
2023,0,2,1,11.9601785009348,50.0,0.0,0.0,0.0,0.0
2023,0,2,1,12.206077645517674,3.0,0.0,0.0,0.0,0.0
2023,0,2,1,11.775297421715827,3.0,0.0,0.0,0.0,0.0
2023,0,2,1,11.407576060361786,68.0,0.0,0.0,2.0,0.0
2023,0,2,1,11.184435286790631,68.0,0.0,0.0,2.0,0.0
2023,0,2,1,12.441938918691436,0.0,0.0,0.0,0.0,0.0
2023,0,2,1,11.415323661400773,0.0,0.0,0.0,0.0,0.0
2023,0,2,1,12.744934553872378,15.0,0.0,0.0,0.0,0.0
2023,0,2,1,12.125897845799532,15.0,0.0,0.0,0.0,0.0
2023,0,1,1,11.998439434579149,0.0,0.0,0.0,0.0,0.0
2023,0,1,1,11.775297421715827,0.0,0.0,0.0,0.0,0.0
2023,0,1,1,11.565337633184944,2.0,0.0,0.0,0.0,0.0
2023,0,1,1,11.07443600653965,2.0,0.0,0.0,0.0,0.0
2023,100,0,2,11.51293546492023,36.0,0.0,0.0,17.0,1.0
2023,100,0,2,10.308985993422082,78.0,0.0,0.0,17.0,1.0
2022,50,1,2,14.316286451937186,3.0,0.0,3.0,4.0,2.0
2023,0,0,2,12.2289147665288,7.0,0.0,0.0,0.0,0.0
2023,0,0,2,11.614407468916063,7.0,0.0,0.0,0.0,0.0
2023,0,2,1,12.508781251998577,0.0,0.0,0.0,0.0,0.0
2023,0,2,1,12.308110146083925,0.0,0.0,0.0,0.0,0.0
2023,100,2,1,12.267877746777101,1.0,0.0,0.0,0.0,1.0
2023,100,2,1,12.128116509451258,1.0,0.0,0.0,0.0,1.0
2023,100,2,1,12.476103599529843,1.0,0.0,0.0,0.0,1.0
2023,100,2,1,12.409017571151187,1.0,0.0,0.0,0.0,1.0
2023,100,2,1,12.525620323525118,1.0,0.0,0.0,0.0,1.0
2023,100,2,1,12.119975396053194,1.0,0.0,0.0,0.0,1.0
2023,100,2,1,12.294545870166347,1.0,0.0,0.0,0.0,1.0
2023,100,2,1,12.201557467437967,1.0,0.0,0.0,0.0,1.0
2023,100,2,1,12.222442918443495,0.0,0.0,0.0,0.0,1.0
2023,100,2,1,11.724813914587886,0.0,0.0,0.0,0.0,1.0
2023,0,2,1,12.150089423234999,9.0,0.0,0.0,0.0,0.0
2023,0,2,1,11.842236406331555,9.0,0.0,0.0,0.0,0.0
2023,0,3,1,12.463621488288547,1.0,0.0,0.0,0.0,0.0
2023,0,3,1,12.128116509451258,1.0,0.0,0.0,0.0,0.0
2023,100,2,1,12.352339472153524,0.0,0.0,0.0,0.0,1.0
2023,100,2,1,12.019749091416921,0.0,0.0,0.0,0.0,1.0
2023,100,2,1,12.058158312538197,1.0,0.0,0.0,0.0,1.0
2023,100,2,1,11.612779849672751,1.0,0.0,0.0,0.0,1.0
2023,0,2,1,12.380030154325457,0.0,0.0,0.0,0.0,0.0
2023,0,2,1,12.07824495582233,0.0,0.0,0.0,0.0,0.0
2023,100,2,1,12.37581963951765,0.0,0.0,0.0,0.0,1.0
2023,100,2,1,12.213301454618094,0.0,0.0,0.0,0.0,1.0
2023,0,2,2,12.642393449177936,7.0,0.0,0.0,0.0,0.0
2023,0,2,2,11.977294499661248,7.0,0.0,0.0,0.0,0.0
2023,0,2,1,11.652696102959753,0.0,0.0,0.0,0.0,0.0
2023,0,2,1,11.308370569092329,0.0,0.0,0.0,0.0,0.0
2023,100,2,1,12.37581963951765,1.0,0.0,0.0,0.0,1.0
2023,100,2,1,12.213301454618094,1.0,0.0,0.0,0.0,1.0
2023,0,2,1,12.54254845357358,15.0,0.0,0.0,0.0,0.0
2023,0,2,1,12.25486757159303,15.0,0.0,0.0,0.0,0.0
2023,100,2,1,12.542905531395343,5.0,0.0,0.0,0.0,1.0
2023,100,2,1,12.032320268218989,5.0,0.0,0.0,0.0,1.0
2023,100,2,1,12.173037959397275,0.0,0.0,0.0,0.0,1.0
2023,100,2,1,11.842236406331555,0.0,0.0,0.0,0.0,1.0
2023,0,1,2,13.1421679654829,1.0,0.0,17.0,45.0,0.0
2023,100,2,1,11.918397239722838,3.0,0.0,0.0,8.0,1.0
2023,100,1,0,11.082157933374816,59.0,0.0,1.0,4.0,1.0
2022,50,0,2,12.611541086966115,22.0,0.0,0.0,4.0,2.0
2023,100,1,2,11.407576060361786,3.0,0.0,1.0,10.0,1.0
2023,0,2,1,12.132969552931216,50.0,0.0,0.0,0.0,0.0
2023,0,2,1,11.769898298682092,50.0,0.0,0.0,0.0,0.0
2023,100,2,1,12.323860125621126,0.0,0.0,0.0,0.0,1.0
2023,100,2,1,12.07254696717504,0.0,0.0,0.0,0.0,1.0
2023,0,2,1,12.128116509451258,0.0,0.0,0.0,0.0,0.0
2023,0,2,1,11.849404844423074,0.0,0.0,0.0,0.0,0.0
2023,0,2,1,10.714439990727769,1.0,0.0,1.0,3.0,0.0
2023,0,2,1,10.491301994830229,1.0,0.0,1.0,3.0,0.0
2023,0,2,1,11.561725152903833,1.0,0.0,0.0,0.0,0.0
2023,0,2,1,11.156264806643742,1.0,0.0,0.0,0.0,0.0
2023,0,0,1,12.002713338990246,3.0,0.0,0.0,0.0,0.0
2023,0,0,1,11.890580773772454,3.0,0.0,0.0,0.0,0.0
2023,100,2,1,12.28765724080691,0.0,0.0,0.0,0.0,1.0
2023,100,2,1,12.128116509451258,0.0,0.0,0.0,0.0,1.0
2023,0,2,2,12.219980481653478,2.0,0.0,0.0,0.0,0.0
2023,0,2,2,11.55503622867061,2.0,0.0,0.0,0.0,0.0
2023,0,2,1,11.884495917930655,2.0,0.0,0.0,0.0,0.0
2023,0,2,1,11.082157933374816,2.0,0.0,0.0,0.0,0.0
2023,0,2,1,12.013706813470414,0.0,0.0,0.0,0.0,0.0
2023,0,2,1,11.792834908653468,0.0,0.0,0.0,0.0,0.0
2023,0,2,1,12.09609593606988,0.0,0.0,0.0,0.0,0.0
2023,0,2,1,11.454247073019193,0.0,0.0,0.0,0.0,0.0
2023,0,2,1,11.934926432385152,4.0,0.0,0.0,0.0,0.0
2023,0,2,1,11.665225862652171,4.0,0.0,0.0,0.0,0.0
2023,0,2,1,12.418361497172986,0.0,0.0,0.0,0.0,0.0
2023,0,2,1,11.80410890048989,0.0,0.0,0.0,0.0,0.0
2023,0,2,1,12.220966184120165,9.0,0.0,0.0,0.0,0.0
2023,0,2,1,11.798111925972618,9.0,0.0,0.0,0.0,0.0
2023,50,0,2,12.301387370778713,6.0,0.0,0.0,0.0,2.0
2022,100,0,0,10.896757843893464,3.0,0.0,9.0,25.0,1.0
2023,0,2,1,11.918397239722838,1.0,0.0,0.0,0.0,0.0
2023,0,2,1,11.695255355062795,1.0,0.0,0.0,0.0,0.0
2023,0,2,1,12.57694975951839,4.0,0.0,0.0,0.0,0.0
2023,0,2,1,12.273735966890268,4.0,0.0,0.0,0.0,0.0
2023,0,2,1,12.099717190639973,4.0,0.0,0.0,0.0,0.0
2023,0,2,1,11.876602834599746,4.0,0.0,0.0,0.0,0.0
2023,100,2,1,12.553912171868914,3.0,0.0,0.0,0.0,1.0
2023,100,2,1,12.14844882928968,3.0,0.0,0.0,0.0,1.0
2023,0,2,1,12.57694975951839,4.0,0.0,0.0,0.0,0.0
2023,0,2,1,12.274670105518968,4.0,0.0,0.0,0.0,0.0
2023,0,2,1,12.132969552931216,0.0,0.0,0.0,0.0,0.0
2023,0,2,1,11.769898298682092,0.0,0.0,0.0,0.0,0.0
2023,0,2,1,12.437188334739655,0.0,0.0,0.0,0.0,0.0
2023,0,2,1,11.767575435251748,0.0,0.0,0.0,0.0,0.0
2023,0,1,1,11.951186847493476,14.0,0.0,0.0,0.0,0.0
